COUNTRY,WEEK_START,EVENTS,TOTAL_MENTIONS,TOTAL_ARTICLES,AVG_TONE,AVG_GOLDSTEIN,LAT_CENTROID,LONG_CENTROID
NG,2021-12-13,229,1376,1376,-4.2341634256040281,-6.354148471615721,15.270482096069868,7.0848866375545843
NG,2021-12-20,293,1718,1694,-5.21231694805988,-7.9003412969283282,15.008329692832765,5.5196071194539247
NG,2021-12-27,162,948,933,-5.0530952082782923,-6.59753086419753,15.391730246913578,7.2803958024691369
NG,2022-01-03,240,1357,1345,-4.5633785429161282,-6.1341666666666672,15.771399166666665,7.3003610000000005
NG,2022-01-10,340,1927,1889,-5.5886899515391217,-6.9011764705882364,15.184710294117647,6.6019315294117664
NG,2022-01-17,228,1422,1371,-5.4050686031517028,-7.425,15.395825438596491,7.5706519298245611
NG,2022-01-24,293,1869,1817,-5.3271980724372279,-6.8098976109215013,15.499731399317408,7.4278552218430027
NG,2022-01-31,318,2052,2007,-5.4704238568681376,-6.15251572327044,15.481510062893083,7.2960290880503145
NG,2022-02-07,275,1822,1784,-5.020169841803515,-7.2741818181818179,15.408091272727273,7.3320362181818188
NG,2022-02-14,285,1622,1622,-4.31997191065198,-6.6814035087719308,15.072256140350879,6.9027824561403506
NG,2022-02-21,358,1952,1901,-7.2092471221808365,-7.8363128491620122,15.156350837988825,6.9769367039106145
NG,2022-02-28,225,1381,1371,-5.2959602880252419,-7.5955555555555563,15.359539555555555,7.1276661422222221
NG,2022-03-07,300,1857,1835,-5.0527852198891114,-6.9206666666666665,15.500073333333333,7.4605524333333335
NG,2022-03-14,334,2033,1981,-5.3478334697155825,-7.7628742514970046,15.29256377245509,6.8517108383233536
NG,2022-03-21,139,853,788,-4.5414975427324435,-5.9812949640287769,15.608425179856114,7.4203083453237424
NG,2022-03-28,238,1653,1613,-6.0559079268921847,-7.6995798319327742,15.514161344537815,7.2019973529411763
NG,2022-04-04,163,875,875,-5.1871881838842162,-6.73803680981595,15.337233742331289,7.2601554601226992
NG,2022-04-11,228,1312,1272,-4.8730671009930582,-7.2048245614035089,15.784630701754384,7.081785175438597
NG,2022-04-18,243,1484,1469,-5.3884294383506823,-7.022633744855967,15.348937037037036,7.3653338683127565
NG,2022-04-25,119,749,719,-4.0765920885675628,-6.4764705882352942,15.615987394957983,8.205747815126049
NG,2022-05-02,104,683,681,-3.9791625120866718,-7.4480769230769228,15.341495192307692,6.5581150961538466
NG,2022-05-09,155,1021,1011,-4.14623437801975,-6.6509677419354833,15.423423225806452,7.32527664516129
